id,project_id,ownername,reponame,merged_or_not,lifetime_minutes,mergetime_minutes,num_commits,src_churn,test_churn,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,num_commit_comments,num_issue_comments,num_comments,num_participants,sloc,team_size,perc_external_contribs,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,prev_pullreqs,requester_succ_rate,followers,churn_addition,churn_deletion,pr_comment_num,comment_num,perc_neg_emotion,perc_pos_emotion,perc_neu_emotion,part_num_issue,part_num_commit,part_num_pr,part_num_code,comment_conflict,hash_tag,at_tag,test_inclusion,description_length,bug_fix,ci_exists,ci_latency,ci_build_num,ci_test_passed,ci_failed_perc,ci_first_build_status,ci_last_build_status,language,fork_num,project_age,open_issue_num,pr_succ_rate,open_pr_num,first_response_time,pushed_delta,acc_commit_num,first_pr,account_creation_days,core_member,contrib_gender,contrib_country,contrib_affiliation,contrib_open,contrib_cons,contrib_extra,contrib_agree,contrib_neur,perc_contrib_neg_emo,perc_contrib_pos_emo,perc_contrib_neu_emo,contrib_first_emo,prior_review_num,inte_country,inte_affiliation,inte_open,inte_cons,inte_extra,inte_agree,inte_neur,perc_inte_neg_emo,perc_inte_pos_emo,perc_inte_neu_emo,inte_first_emo,contrib_follow_integrator,prior_interaction,social_strength,same_country,same_affiliation,open_diff,cons_diff,extra_diff,agree_diff,neur_diff,has_comments,has_participants,has_exchange,contrib_comment,inte_comment,reviewer_comment,other_comment,num_comments_con,num_code_comments,num_code_comments_con,integrator_availability,friday_effect,contrib_rate_author,reopen_or_not,first_close_minutes,reopen_num
6223,1334,rails,rails,1,605,605,1,6,0,0,0,1,1,1,0,0,0,3,3,2,65775,54,0.100264,0,688.357,55.3826,163.03,36413,447,0.979866,509,3,3,0,3,"","","",2,0,0,0,0,0,0,0,10,"",1,1198,1,0,1,failure,failure,Ruby,14265,104,867,0.933613,920,0,4,640,0,3130,1,"",japan,"",0.810294,0.627716,0.472563,0.639982,0.468908,0,0,0,"",459,denmark,"",0.801955,0.629848,0.475906,0.675781,0.475391,0,1,0,positive,0,138,0.0194099,0,"",0.00833904,0.00213272,0.00334289,0.0357993,0.00648323,1,1,0,0,1,1,0,0,0,0,15,1,0.00922882,0,605,0
6752,64836,joblib,joblib,1,2915,2915,5,509,9,0,0,5,5,5,0,0,0,6,6,2,6088,7,0.046875,2,217.28,13.1139,34.199,1035,2,1,21,325,193,0,6,0.333333,0.166667,0.5,2,0,0,0,0,1,0,0,6,"",1,278,14,0,0.214286,success,success,Python,170,95,110,0.932945,32,894,833627,8,0,1907,1,male,france,"",0.817882,0.649701,0.451239,0.607839,0.462738,1,0,0,negative,88,france,inria,0.822707,0.621743,0.465336,0.617093,0.50848,0.2,0.2,0.6,negative,1,8,0.352941,1,"",0.0048249,0.0279583,0.0140967,0.00925358,0.0457423,1,1,1,1,1,1,0,1,0,0,171,0,0.00665557,0,2915,0
12401,15430259,chef,chef,1,42,42,2,1264,0,1,0,1,2,2,0,0,0,2,3,2,65639,26,0.0400925,0,614.186,58.6959,100.199,1431,7,1,24,1262,2,1,3,0,0.333333,0.666667,2,0,1,1,0,0,0,0,190,"",1,"","","","","","",Ruby,1542,93,567,0.974676,75,31,29965,80,0,1793,1,male,united states,chef,0.822365,0.647376,0.477106,0.648962,0.48309,0,0,0,"",270,united kingdom,chef,0.801285,0.63808,0.487464,0.68501,0.510576,0,0.5,0.5,neutral,0,62,0.0714286,0,1,0.0210799,0.00929589,0.010358,0.0360472,0.0274858,1,1,1,1,1,1,0,0,1,0,54,1,0.00735362,0,42,0
12821,1953978,sbt,sbt,1,58,58,1,21,0,0,0,3,3,2,0,1,0,1,1,1,38934,4,0.039548,8,162.061,2.60417,7.03771,4045,50,1,6,19,2,0,1,0,0,1,1,0,0,0,0,0,0,0,102,"",1,3020,1,1,0,success,success,Scala,778,115,717,0.966001,37,38,169611,214,0,2347,1,male,united states,"",0.818261,0.593242,0.44326,0.619168,0.460391,0,0,0,"",859,united states,lightbend,0.818364,0.601616,0.475528,0.633011,0.470277,0,0,1,neutral,0,170,0.105263,1,"",0.000102804,0.00837415,0.0322675,0.0138428,0.00988575,1,1,0,0,1,1,0,0,0,0,16,0,0.0252567,0,58,0
13122,1334,rails,rails,1,30692,30692,2,310,18,0,0,4,4,4,0,0,0,0,10,2,81057,69,0.0865504,4,691.713,52.8588,159.405,47572,152,0.730263,179,199,129,10,10,0.1,0,0.9,0,0,2,2,0,0,1,1,270,"",1,2161,3,0,0.333333,success,success,Ruby,19361,130,1238,0.929462,1033,1444,14924,198,0,3471,1,male,ukraine,"",0.828935,0.617147,0.474227,0.653065,0.522225,0.333333,0,0.666667,neutral,992,japan,"",0.810294,0.627716,0.472563,0.639982,0.468908,0,0,1,neutral,0,15,0.00260586,0,"",0.0186408,0.0105684,0.00166418,0.0130835,0.0533174,1,1,1,1,1,1,0,3,10,3,184,0,0.00237898,0,30692,0
13697,30838963,ruby,spec,1,28966,28966,19,2304,0,4,0,8,12,7,0,1,0,18,76,4,154002,8,0.444751,0,1.19336,0.0129713,0.0129713,108,15,1,21,1705,599,58,76,0.157895,0.0921053,0.75,4,0,3,3,0,0,1,1,55,"",1,"","","","","","",Ruby,291,105,9,0.987342,11,7334,21898,57,0,2387,1,male,ukraine,"",0.811907,0.622417,0.458905,0.654467,0.567052,0.238095,0,0.761905,negative,252,austria,"",0.829941,0.618625,0.465409,0.668803,0.471388,0.136364,0.0681818,0.795455,neutral,0,84,0.269231,0,"",0.0180339,0.00379169,0.00650416,0.0143362,0.095664,1,1,1,1,1,1,0,21,58,13,6,0,0.0280236,0,28966,0
14672,31723,scipy,scipy,1,80264,80264,13,156,25,0,0,2,2,2,0,0,0,16,52,3,77066,22,0.268657,13,434.253,33.211,82.888,5632,5,1,2,115,66,36,52,0.0576923,0.173077,0.769231,2,0,3,3,0,0,1,1,269,"",1,1772,12,0,0.333333,failure,success,Python,2828,93,1474,0.945742,275,4083,8739,53,0,1947,1,male,united states,virginia polytechnic institute and state university,0.82394,0.624103,0.48493,0.628108,0.500692,0.0769231,0.307692,0.615385,negative,10,switzerland,"",0.833388,0.640435,0.47274,0.646056,0.502834,0.04,0.04,0.92,neutral,0,115,0.0550459,0,"",0.00944809,0.0163316,0.0121904,0.0179482,0.00214179,1,1,1,1,1,1,1,26,36,14,16,0,0.00273548,0,80264,0
15423,1142,saltstack,salt,1,26794,26794,11,1124,0,0,0,1,1,1,0,0,0,7,11,4,335754,31,0.177999,0,302.126,16.5243,36.4781,10018,3,1,0,565,559,4,11,0.272727,0.0909091,0.636364,4,0,2,2,0,1,1,0,109,"",1,"","","","","","",Python,4670,91,5943,0.974837,561,3914,11937,17,0,2710,0,female,united states,"",0.813167,0.63341,0.501297,0.657741,0.420527,0.25,0,0.75,neutral,6822,united states,saltstack,0.80965,0.698966,0.504096,0.755121,0.50255,0,0.5,0.5,neutral,0,9,0,1,"",0.00351733,0.0655552,0.0027996,0.0973798,0.082023,1,1,1,1,1,1,1,4,4,2,54,0,0.0001676,0,26794,0
17459,19621554,mozilla,pontoon,1,17680,17680,8,771,0,9,0,18,27,18,4,0,0,3,6,2,14131,6,0.0837438,18,418.501,14.8142,51.3971,477,90,0.977778,120,585,186,3,6,0.166667,0.166667,0.666667,2,0,2,2,0,0,0,0,41,"",1,484,6,0,0.5,success,success,Python,214,96,4,0.989556,16,322,68654,244,0,3147,1,male,france,mozilla,0.816778,0.630276,0.46117,0.684088,0.452596,0,0,1,neutral,864,slovenia,mozilla,0.820978,0.640873,0.476654,0.651827,0.493132,0.25,0.25,0.5,positive,0,103,0.25,0,1,0.00419919,0.0105972,0.0154843,0.032261,0.0405364,1,1,1,1,1,1,0,2,3,1,74,0,0.0715333,0,17680,0
18525,1953978,sbt,sbt,1,64972,64972,7,1158,160,9,0,19,28,24,0,1,0,16,43,4,28387,4,0.0263158,78,167.951,2.72591,4.71906,3310,321,0.975078,502,1143,175,27,43,0.0232558,0.0697674,0.906977,4,0,3,3,0,1,1,1,232,"",1,60046,8,0,0.5,failure,success,Scala,581,95,702,0.960448,38,47100,126738,1617,0,2764,1,male,united states,lightbend,0.818364,0.601616,0.475528,0.633011,0.470277,0,0.0714286,0.928571,neutral,142,united kingdom,lightbend,0.813636,0.596182,0.471551,0.653622,0.479763,0.0666667,0.133333,0.8,positive,1,423,0.185185,0,1,0.0047283,0.00543373,0.00397652,0.0206116,0.00948541,1,1,1,1,1,1,1,14,27,11,5,0,0.234824,0,64972,0
